Vectorizer,Model,Accuracy,Confusion Matrix,Best Parameters
CountVectorizer,Logistic Regression,0.957345971563981,"PP: 192, PN: 5, NP: 13, NN: 212",{'C': 10}
CountVectorizer,K-Nearest Neighbors,0.943127962085308,"PP: 188, PN: 9, NP: 15, NN: 210","{'n_neighbors': 9, 'weights': 'distance'}"
CountVectorizer,Random Forest,0.9739336492890995,"PP: 192, PN: 5, NP: 6, NN: 219","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
CountVectorizer,XGBoost,0.9644549763033176,"PP: 193, PN: 4, NP: 11, NN: 214","{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300}"
CountVectorizer,Support Vector Machine,0.9620853080568721,"PP: 191, PN: 6, NP: 10, NN: 215","{'C': 0.1, 'kernel': 'linear'}"
CountVectorizer,Naive Bayes,0.957345971563981,"PP: 190, PN: 7, NP: 11, NN: 214",{'alpha': 0.5}
HashingVectorizer,Logistic Regression,0.9502369668246445,"PP: 186, PN: 11, NP: 10, NN: 215",{'C': 10}
HashingVectorizer,K-Nearest Neighbors,0.943127962085308,"PP: 187, PN: 10, NP: 14, NN: 211","{'n_neighbors': 9, 'weights': 'distance'}"
HashingVectorizer,Random Forest,0.976303317535545,"PP: 191, PN: 6, NP: 4, NN: 221","{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}"
HashingVectorizer,XGBoost,0.9620853080568721,"PP: 189, PN: 8, NP: 8, NN: 217","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}"
HashingVectorizer,Support Vector Machine,0.976303317535545,"PP: 190, PN: 7, NP: 3, NN: 222","{'C': 1, 'kernel': 'rbf'}"
HashingVectorizer,Naive Bayes,0.8175355450236966,"PP: 166, PN: 31, NP: 46, NN: 179",{'alpha': 0.5}
TfidfVectorizer,Logistic Regression,0.9620853080568721,"PP: 189, PN: 8, NP: 8, NN: 217",{'C': 1}
TfidfVectorizer,K-Nearest Neighbors,0.8981042654028436,"PP: 174, PN: 23, NP: 20, NN: 205","{'n_neighbors': 5, 'weights': 'distance'}"
TfidfVectorizer,Random Forest,0.9739336492890995,"PP: 190, PN: 7, NP: 4, NN: 221","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
TfidfVectorizer,XGBoost,0.976303317535545,"PP: 191, PN: 6, NP: 4, NN: 221","{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}"
TfidfVectorizer,Support Vector Machine,0.9691943127962085,"PP: 189, PN: 8, NP: 5, NN: 220","{'C': 1, 'kernel': 'rbf'}"
TfidfVectorizer,Naive Bayes,0.9597156398104265,"PP: 191, PN: 6, NP: 11, NN: 214",{'alpha': 1}
